DATE_TIME,TEMP,UOM,PROBEID,SID,COLLECTOR,PROBE_TYPE
5/10/2014 0:00,14.05,Logged,10015950,14609,VOL,HOBO
5/10/2014 1:00,14.05,Logged,10015950,14609,VOL,HOBO
5/10/2014 2:00,14.098,Logged,10015950,14609,VOL,HOBO
5/10/2014 3:00,14.122,Logged,10015950,14609,VOL,HOBO
5/10/2014 4:00,14.146,Logged,10015950,14609,VOL,HOBO
5/10/2014 5:00,14.146,Logged,10015950,14609,VOL,HOBO
5/10/2014 6:00,14.146,Logged,10015950,14609,VOL,HOBO
5/10/2014 7:00,14.17,Logged,10015950,14609,VOL,HOBO
5/10/2014 8:00,14.17,Logged,10015950,14609,VOL,HOBO
5/10/2014 9:00,14.218,Logged,10015950,14609,VOL,HOBO
5/10/2014 10:00,14.385,Logged,10015950,14609,VOL,HOBO
5/10/2014 11:00,14.481,Logged,10015950,14609,VOL,HOBO
5/10/2014 12:00,14.864,Logged,10015950,14609,VOL,HOBO
5/10/2014 13:00,15.342,Logged,10015950,14609,VOL,HOBO
5/10/2014 14:00,15.557,Logged,10015950,14609,VOL,HOBO
5/10/2014 15:00,15.7,Logged,10015950,14609,VOL,HOBO
5/10/2014 16:00,16.082,Logged,10015950,14609,VOL,HOBO
5/10/2014 17:00,16.01,Logged,10015950,14609,VOL,HOBO
5/10/2014 18:00,15.915,Logged,10015950,14609,VOL,HOBO
5/10/2014 19:00,15.891,Logged,10015950,14609,VOL,HOBO
5/10/2014 20:00,15.915,Logged,10015950,14609,VOL,HOBO
5/10/2014 21:00,15.891,Logged,10015950,14609,VOL,HOBO
5/10/2014 22:00,15.915,Logged,10015950,14609,VOL,HOBO
5/10/2014 23:00,15.915,Logged,10015950,14609,VOL,HOBO
5/11/2014 0:00,15.891,Logged,10015950,14609,VOL,HOBO
5/11/2014 1:00,15.867,Logged,10015950,14609,VOL,HOBO
5/11/2014 2:00,15.796,Logged,10015950,14609,VOL,HOBO
5/11/2014 3:00,15.772,Logged,10015950,14609,VOL,HOBO
5/11/2014 4:00,15.676,Logged,10015950,14609,VOL,HOBO
5/11/2014 5:00,15.557,Logged,10015950,14609,VOL,HOBO
5/11/2014 6:00,15.461,Logged,10015950,14609,VOL,HOBO
5/11/2014 7:00,15.39,Logged,10015950,14609,VOL,HOBO
5/11/2014 8:00,15.438,Logged,10015950,14609,VOL,HOBO
5/11/2014 9:00,15.581,Logged,10015950,14609,VOL,HOBO
5/11/2014 10:00,15.891,Logged,10015950,14609,VOL,HOBO
5/11/2014 11:00,16.272,Logged,10015950,14609,VOL,HOBO
5/11/2014 12:00,16.725,Logged,10015950,14609,VOL,HOBO
5/11/2014 13:00,17.13,Logged,10015950,14609,VOL,HOBO
5/11/2014 14:00,17.534,Logged,10015950,14609,VOL,HOBO
5/11/2014 15:00,17.819,Logged,10015950,14609,VOL,HOBO
5/11/2014 16:00,17.962,Logged,10015950,14609,VOL,HOBO
5/11/2014 17:00,17.986,Logged,10015950,14609,VOL,HOBO
5/11/2014 18:00,17.915,Logged,10015950,14609,VOL,HOBO
5/11/2014 19:00,17.748,Logged,10015950,14609,VOL,HOBO
5/11/2014 20:00,17.653,Logged,10015950,14609,VOL,HOBO
5/11/2014 21:00,17.629,Logged,10015950,14609,VOL,HOBO
5/11/2014 22:00,17.629,Logged,10015950,14609,VOL,HOBO
5/11/2014 23:00,17.629,Logged,10015950,14609,VOL,HOBO
5/12/2014 0:00,17.605,Logged,10015950,14609,VOL,HOBO
5/12/2014 1:00,17.534,Logged,10015950,14609,VOL,HOBO
5/12/2014 2:00,17.415,Logged,10015950,14609,VOL,HOBO
5/12/2014 3:00,17.272,Logged,10015950,14609,VOL,HOBO
5/12/2014 4:00,17.13,Logged,10015950,14609,VOL,HOBO
5/12/2014 5:00,17.011,Logged,10015950,14609,VOL,HOBO
5/12/2014 6:00,16.868,Logged,10015950,14609,VOL,HOBO
5/12/2014 7:00,16.773,Logged,10015950,14609,VOL,HOBO
5/12/2014 8:00,16.82,Logged,10015950,14609,VOL,HOBO
5/12/2014 9:00,17.011,Logged,10015950,14609,VOL,HOBO
5/12/2014 10:00,17.272,Logged,10015950,14609,VOL,HOBO
5/12/2014 11:00,17.582,Logged,10015950,14609,VOL,HOBO
5/12/2014 12:00,17.938,Logged,10015950,14609,VOL,HOBO
5/12/2014 13:00,18.319,Logged,10015950,14609,VOL,HOBO
5/12/2014 14:00,18.699,Logged,10015950,14609,VOL,HOBO
5/12/2014 15:00,18.866,Logged,10015950,14609,VOL,HOBO
5/12/2014 16:00,19.008,Logged,10015950,14609,VOL,HOBO
5/12/2014 17:00,18.985,Logged,10015950,14609,VOL,HOBO
5/12/2014 18:00,18.771,Logged,10015950,14609,VOL,HOBO
5/12/2014 19:00,18.557,Logged,10015950,14609,VOL,HOBO
5/12/2014 20:00,18.461,Logged,10015950,14609,VOL,HOBO
5/12/2014 21:00,18.438,Logged,10015950,14609,VOL,HOBO
5/12/2014 22:00,18.485,Logged,10015950,14609,VOL,HOBO
5/12/2014 23:00,18.485,Logged,10015950,14609,VOL,HOBO
5/13/2014 0:00,18.438,Logged,10015950,14609,VOL,HOBO
5/13/2014 1:00,18.461,Logged,10015950,14609,VOL,HOBO
5/13/2014 2:00,18.39,Logged,10015950,14609,VOL,HOBO
5/13/2014 3:00,18.152,Logged,10015950,14609,VOL,HOBO
5/13/2014 4:00,17.986,Logged,10015950,14609,VOL,HOBO
5/13/2014 5:00,17.915,Logged,10015950,14609,VOL,HOBO
5/13/2014 6:00,17.843,Logged,10015950,14609,VOL,HOBO
5/13/2014 7:00,17.796,Logged,10015950,14609,VOL,HOBO
5/13/2014 8:00,17.772,Logged,10015950,14609,VOL,HOBO
5/13/2014 9:00,17.843,Logged,10015950,14609,VOL,HOBO
5/13/2014 10:00,17.962,Logged,10015950,14609,VOL,HOBO
5/13/2014 11:00,18.176,Logged,10015950,14609,VOL,HOBO
5/13/2014 12:00,18.533,Logged,10015950,14609,VOL,HOBO
5/13/2014 13:00,18.937,Logged,10015950,14609,VOL,HOBO
5/13/2014 14:00,19.175,Logged,10015950,14609,VOL,HOBO
5/13/2014 15:00,19.056,Logged,10015950,14609,VOL,HOBO
5/13/2014 16:00,19.008,Logged,10015950,14609,VOL,HOBO
5/13/2014 17:00,18.961,Logged,10015950,14609,VOL,HOBO
5/13/2014 18:00,18.842,Logged,10015950,14609,VOL,HOBO
5/13/2014 19:00,18.699,Logged,10015950,14609,VOL,HOBO
5/13/2014 20:00,18.533,Logged,10015950,14609,VOL,HOBO
5/13/2014 21:00,18.39,Logged,10015950,14609,VOL,HOBO
5/13/2014 22:00,18.319,Logged,10015950,14609,VOL,HOBO
5/13/2014 23:00,18.224,Logged,10015950,14609,VOL,HOBO
5/14/2014 0:00,18.129,Logged,10015950,14609,VOL,HOBO
5/14/2014 1:00,18.033,Logged,10015950,14609,VOL,HOBO
5/14/2014 2:00,17.891,Logged,10015950,14609,VOL,HOBO
5/14/2014 3:00,17.772,Logged,10015950,14609,VOL,HOBO
5/14/2014 4:00,17.653,Logged,10015950,14609,VOL,HOBO
5/14/2014 5:00,17.534,Logged,10015950,14609,VOL,HOBO
5/14/2014 6:00,17.415,Logged,10015950,14609,VOL,HOBO
5/14/2014 7:00,17.344,Logged,10015950,14609,VOL,HOBO
5/14/2014 8:00,17.296,Logged,10015950,14609,VOL,HOBO
5/14/2014 9:00,17.296,Logged,10015950,14609,VOL,HOBO
5/14/2014 10:00,17.582,Logged,10015950,14609,VOL,HOBO
5/14/2014 11:00,17.915,Logged,10015950,14609,VOL,HOBO
5/14/2014 12:00,18.271,Logged,10015950,14609,VOL,HOBO
5/14/2014 13:00,18.461,Logged,10015950,14609,VOL,HOBO
5/14/2014 14:00,18.58,Logged,10015950,14609,VOL,HOBO
5/14/2014 15:00,18.961,Logged,10015950,14609,VOL,HOBO
5/14/2014 16:00,19.175,Logged,10015950,14609,VOL,HOBO
5/14/2014 17:00,19.151,Logged,10015950,14609,VOL,HOBO
5/14/2014 18:00,19.008,Logged,10015950,14609,VOL,HOBO
5/14/2014 19:00,18.747,Logged,10015950,14609,VOL,HOBO
5/14/2014 20:00,18.533,Logged,10015950,14609,VOL,HOBO
5/14/2014 21:00,18.319,Logged,10015950,14609,VOL,HOBO
5/14/2014 22:00,18.081,Logged,10015950,14609,VOL,HOBO
5/14/2014 23:00,17.891,Logged,10015950,14609,VOL,HOBO
5/15/2014 0:00,17.796,Logged,10015950,14609,VOL,HOBO
5/15/2014 1:00,17.796,Logged,10015950,14609,VOL,HOBO
