"SID","SummerTemp","SN","TempCatS","JulyTemp","JN","TempCatJ","MaxD","MN","TempCatM","Max24.9","Max27","Flag","Year","Collector"
"14129",18.608290307971,92,"Cool",19.3777043010753,31,"Cool",22.2500416666667,363,"Cold",1,0,NA,"2018","ABM"
"14147",22.0867871376812,92,"Warm",23.8304032258065,31,"Warm",26.831,363,"Warm",28,4,NA,"2018","ABM"
"14179",20.8127975543478,92,"Cool",22.8542688172043,31,"Warm",25.634875,364,"Cool",39,27,NA,"2018","ABM"
"14197",19.2329846014493,92,"Cool",20.1219112903226,31,"Cool",23.9735416666667,363,"Cool",8,0,NA,"2018","ABM"
"14254",22.7091612318841,92,"Warm",24.8077258064516,31,"Warm",27.2516666666667,296,"Warm",35,5,NA,"2018","ABM"
"14316",23.1683079710145,92,"Warm",25.3541733870968,31,"Warm",29.0034166666667,363,"Warm",36,14,NA,"2018","ABM"
"14317",23.560777173913,92,"Warm",25.2194758064516,31,"Warm",28.1399166666667,363,"Warm",65,36,NA,"2018","ABM"
"14319",21.8829732789855,92,"Warm",23.5483884408602,31,"Warm",26.4449583333333,364,"Warm",30,5,NA,"2018","ABM"
"14341",22.5112617753623,92,"Warm",24.4378293010753,31,"Warm",27.6179166666667,364,"Warm",59,37,NA,"2018","ABM"
"14355",19.4077069746377,92,"Cool",20.4020430107527,31,"Cool",22.64575,363,"Cool",1,0,NA,"2018","ABM"
"14390",19.5144538043478,92,"Cool",20.2074959677419,31,"Cool",23.36875,266,"Cool",0,0,NA,"2018","ABM"
"14392",20.425040307971,92,"Cool",21.494876344086,31,"Cool",23.2774166666667,363,"Cool",2,0,NA,"2018","ABM"
"14410",23.6118278388278,91,"Warm",25.3735524193548,31,"Warm",28.9204166666667,363,"Warm",59,24,1,"2018","ABM"
"14413",20.6905280797101,92,"Cool",21.8953548387097,31,"Cool",24.0370833333333,246,"Cool",1,0,NA,"2018","ABM"
"14414",22.1682577838828,91,"Warm",23.4368010752688,31,"Warm",25.3475833333333,363,"Cool",18,0,1,"2018","ABM"
"14441",21.1739331974638,92,"Cool",22.5673844086022,31,"Warm",25.2905833333333,364,"Cool",25,4,NA,"2018","ABM"
"14442",20.242183423913,92,"Cool",21.8425349462366,31,"Cool",24.7531666666667,363,"Cool",12,2,NA,"2018","ABM"
"14444",21.4621847826087,92,"Cool",22.956502688172,31,"Warm",25.2717083333333,363,"Cool",10,0,NA,"2018","ABM"
"14450",22.4162205615942,92,"Warm",24.0965510752688,31,"Warm",27.4088333333333,363,"Warm",48,15,NA,"2018","ABM"
"14451",23.1910375457875,91,"Warm",24.6960483870968,31,"Warm",27.52825,212,"Warm",48,11,1,"2018","ABM"
"14456",20.9591902173913,92,"Cool",22.4253978494624,31,"Warm",25.6317916666667,363,"Cool",13,3,NA,"2018","ABM"
"14461",20.9817857789855,92,"Cool",22.7453508064516,31,"Warm",25.6718333333333,363,"Cool",16,2,NA,"2018","ABM"
"14470",18.9858365036232,92,"Cool",20.0247580645161,31,"Cool",22.3360416666667,363,"Cold",0,0,NA,"2018","ABM"
"14482",22.2413002717391,92,"Warm",23.2918830645161,31,"Warm",26.2677916666667,364,"Cool",31,5,NA,"2018","ABM"
"14521",22.8939325181159,92,"Warm",25.0080887096774,31,"Warm",27.56075,146,"Warm",44,15,NA,"2018","ABM"
"14523",15.6359538043478,92,"Cold",14.9215806451613,31,"Cold",20.310125,363,"Cold",0,0,NA,"2018","ABM"
"14581",23.0264716117216,91,"Warm",24.6522715053763,31,"Warm",27.7546666666667,212,"Warm",49,15,1,"2018","ABM"
"14584",19.6823967391304,92,"Cool",20.9009771505376,31,"Cool",24.211375,363,"Cool",2,0,NA,"2018","ABM"
"14598",24.6176059782609,92,"Warm",26.3172069892473,31,"Warm",28.3365416666667,363,"Warm",66,36,NA,"2018","ABM"
"14605",20.6113025362319,92,"Cool",21.7479798387097,31,"Cool",23.6190833333333,222,"Cool",1,0,NA,"2018","ABM"
"14609",24.3482549818841,92,"Warm",25.9920900537634,31,"Warm",28.5952083333333,363,"Warm",69,32,NA,"2018","ABM"
"14669",24.3656363224638,92,"Warm",26.0097634408602,31,"Warm",29.524875,363,"Warm",70,29,NA,"2018","ABM"
"14706",21.2671826550388,86,"Cool",21.9126102150538,31,"Cool",25.20925,207,"Cool",20,0,1,"2018","ABM"
"14720",19.0177259963768,92,"Cool",19.9850524193548,31,"Cool",22.8219166666667,363,"Cool",0,0,NA,"2018","ABM"
"14740",19.7391268115942,92,"Cool",20.3786922043011,31,"Cool",23.5470416666667,363,"Cool",1,0,NA,"2018","ABM"
"14800",19.7788786231884,92,"Cool",20.7608333333333,31,"Cool",23.7208333333333,363,"Cool",2,0,NA,"2018","ABM"
"14825",22.2848586956522,92,"Warm",24.3866639784946,31,"Warm",27.76025,363,"Warm",40,10,NA,"2018","ABM"
"14880",16.3001607789855,92,"Cold",17.4922634408602,31,"Cold",19.2074583333333,363,"Cold",0,0,NA,"2018","ABM"
"15004",22.9878482789855,92,"Warm",25.1403508064516,31,"Warm",27.9675,364,"Warm",52,20,NA,"2018","ABM"
"15020",21.2339180253623,92,"Cool",22.4756290322581,31,"Warm",25.06325,363,"Cool",23,2,NA,"2018","ABM"
"15092",20.3193154761905,91,"Cool",21.736877688172,31,"Cool",24.463875,212,"Cool",6,0,1,"2018","ABM"
"15240",18.7652649456522,92,"Cool",20.3346935483871,31,"Cool",23.112875,363,"Cool",1,0,NA,"2018","ABM"
"15274",22.0934429347826,92,"Warm",22.5047553763441,31,"Warm",26.1879583333333,251,"Cool",36,5,NA,"2018","ABM"
"15304",19.3135964673913,92,"Cool",20.530499327957,31,"Cool",22.6436875,365,"Cool",0,0,NA,"2018","ABM"
"15312",21.3701064311594,92,"Cool",22.3289260752688,31,"Warm",25.233,363,"Cool",26,2,NA,"2018","ABM"
"15315",17.9526639492754,92,"Cold",19.0739529569892,31,"Cool",21.1332916666667,363,"Cold",0,0,NA,"2018","ABM"
"15479",20.3302509057971,92,"Cool",21.4794462365591,31,"Cool",24.2068333333333,363,"Cool",3,1,NA,"2018","ABM"
"15499",18.9496897644928,92,"Cool",20.3447836021505,31,"Cool",22.3721666666667,363,"Cold",0,0,NA,"2018","ABM"
"15520",16.7232115384615,91,"Cold",17.5141330645161,31,"Cold",20.0164583333333,363,"Cold",0,0,1,"2018","ABM"
"15530",19.6816970108696,92,"Cool",21.2249126344086,31,"Cool",23.6578333333333,363,"Cool",3,0,NA,"2018","ABM"
"15783",19.3955249094203,92,"Cool",20.5549731182796,31,"Cool",22.8757916666667,363,"Cool",6,0,NA,"2018","ABM"
"15792",10.9865697463768,92,"Cold",9.94983467741936,31,"Cold",20.8591666666667,363,"Cold",0,0,NA,"2018","ABM"
"15795",15.8791671195652,92,"Cold",15.8350577956989,31,"Cold",22.4099583333333,363,"Cool",0,0,NA,"2018","ABM"
"15796",19.2570792572464,92,"Cool",20.2779919354839,31,"Cool",23.1486666666667,363,"Cool",0,0,NA,"2018","ABM"
