"SID","SummerTemp","SN","TempCatS","JulyTemp","JN","TempCatJ","MaxD","MN","TempCatM","Max24.9","Max27","Flag","Year","Collector"
"14172",19.7322581521739,92,"Cool",20.5854798387097,31,"Cool",24.081625,121,"Cool",3,0,NA,"2016","VOL"
"14355",19.2688093297101,92,"Cool",19.8517822580645,31,"Cool",23.441375,153,"Cool",2,0,NA,"2016","VOL"
"14459",21.4681091485507,92,"Cool",22.1564865591398,31,"Cool",25.606375,216,"Cool",16,4,NA,"2016","VOL"
"14532",20.0253315217391,92,"Cool",20.9827970430108,31,"Cool",24.4190416666667,216,"Cool",2,0,NA,"2016","VOL"
"15009",18.9029714673913,92,"Cool",19.6991370967742,31,"Cool",22.7839166666667,151,"Cool",0,0,NA,"2016","VOL"
"15012",22.1233922101449,92,"Warm",23.1659516129032,31,"Warm",26.017125,153,"Cool",22,1,NA,"2016","VOL"
"15025",21.5202386775362,92,"Cool",22.371377688172,31,"Warm",25.5749166666667,146,"Cool",15,0,NA,"2016","VOL"
"15246",19.2152617753623,92,"Cool",20.0329032258065,31,"Cool",23.3170416666667,182,"Cool",0,0,NA,"2016","VOL"
"15388",21.8352644927536,92,"Warm",22.7603373655914,31,"Warm",25.948875,146,"Cool",23,2,NA,"2016","VOL"
"15581",19.6126508152174,92,"Cool",20.3508682795699,31,"Cool",24.0734583333333,121,"Cool",2,0,NA,"2016","VOL"
"15785",19.2608636775362,92,"Cool",19.9789650537634,31,"Cool",23.5242083333333,216,"Cool",0,0,NA,"2016","VOL"
"15793",15.2155267210145,92,"Cold",14.8637150537634,31,"Cold",22.8490833333333,216,"Cool",7,3,NA,"2016","VOL"
"15839",16.6786024039145,92,"Cold",17.2000739247312,31,"Cold",20.441375,121,"Cold",1,1,NA,"2016","VOL"
"16036",21.3763740942029,92,"Cool",22.0037459677419,31,"Cool",25.6953333333333,167,"Cool",8,1,NA,"2016","VOL"
"16037",19.9914457762557,73,"Cool",20.0934247311828,31,"Cool",23.836,91,"Cool",6,1,1,"2016","VOL"
"16039",20.8064895833333,92,"Cool",21.6526182795699,31,"Cool",25.0610416666667,121,"Cool",7,0,NA,"2016","VOL"
"16083",18.7743962862319,92,"Cool",19.6426935483871,31,"Cool",23.0445833333333,121,"Cool",1,0,NA,"2016","VOL"
"16094",19.8310407608696,92,"Cool",20.6084704301075,31,"Cool",23.8271666666667,121,"Cool",1,0,NA,"2016","VOL"
"16095",19.9388523550725,92,"Cool",20.7214314516129,31,"Cool",24.2500416666667,120,"Cool",11,1,NA,"2016","VOL"
"16106",19.1514809782609,92,"Cool",20.0328279569892,31,"Cool",22.754875,131,"Cool",3,0,NA,"2016","VOL"
"16128",21.1467001811594,92,"Cool",21.9473346774194,31,"Cool",25.3908333333333,131,"Cool",23,3,NA,"2016","VOL"
"16239",17.5875701992754,92,"Cold",17.1039946236559,31,"Cold",25.2252916666667,216,"Cool",7,1,NA,"2016","VOL"
"16258",12.6205878623188,92,"Cold",12.306002688172,31,"Cold",19.1424583333333,216,"Cold",0,0,NA,"2016","VOL"
"16333",18.5165380434783,92,"Cool",19.3355940860215,31,"Cool",22.8025416666667,146,"Cool",1,0,NA,"2016","VOL"
"16420",21.2203505434783,92,"Cool",22.0922540322581,31,"Cool",25.8280833333333,121,"Cool",25,7,NA,"2016","VOL"
"16431",19.3327785326087,92,"Cool",20.1322419354839,31,"Cool",23.6000833333333,153,"Cool",1,0,NA,"2016","VOL"
