"SID","SummerTemp","SN","TempCatS","JulyTemp","JN","TempCatJ","MaxD","MN","TempCatM","Max24.9","Max27","Flag","Year","Collector"
"14147",20.1127413949275,92,"Cool",21.4778293010753,31,"Cool",23.289875,253,"Cool",0,0,NA,"2014","ABM"
"14153",21.3470548007246,92,"Cool",22.8069637096774,31,"Warm",25.2675833333333,255,"Cool",10,0,NA,"2014","ABM"
"14172",18.7603826992754,92,"Cool",20.0782204301075,31,"Cool",22.54625,365,"Cool",0,0,NA,"2014","ABM"
"14174",21.5225751811594,92,"Cool",23.4120833333333,31,"Warm",26.1777916666667,365,"Cool",17,2,NA,"2014","ABM"
"14195",19.694637109077,92,"Cool",21.2414018817204,31,"Cool",23.007,365,"Cool",0,0,NA,"2014","ABM"
"14197",18.8440578910912,92,"Cool",19.5719475806452,31,"Cool",23.5029583333333,365,"Cool",2,0,NA,"2014","ABM"
"14209",16.6480995729814,92,"Cold",17.7521102150538,31,"Cold",20.0759583333333,365,"Cold",0,0,NA,"2014","ABM"
"14221",19.2527010869565,92,"Cool",20.4017298387097,31,"Cool",23.498875,365,"Cool",0,0,NA,"2014","ABM"
"14226",20.3295919384058,92,"Cool",21.6527849462366,31,"Cool",23.7172083333333,365,"Cool",2,0,NA,"2014","ABM"
"14247",18.2080819746377,92,"Cold",19.3728279569892,31,"Cool",21.712625,365,"Cold",0,0,NA,"2014","ABM"
"14251",20.8210874809306,92,"Cool",21.5994005376344,31,"Cool",23.9075833333333,365,"Cool",1,0,NA,"2014","ABM"
"14263",16.7513093297101,92,"Cold",18.1070349462366,31,"Cold",20.49575,225,"Cold",0,0,NA,"2014","ABM"
"14278",23.8689923007246,92,"Warm",26.0452311827957,31,"Warm",28.5241666666667,225,"Warm",63,27,NA,"2014","ABM"
"14284",20.7123883281573,92,"Cool",22.1438911290323,31,"Cool",24.297375,365,"Cool",7,0,NA,"2014","ABM"
"14288",21.3705507246377,92,"Cool",22.8527795698925,31,"Warm",24.4880833333333,252,"Cool",7,0,NA,"2014","ABM"
"14308",19.1076128783035,92,"Cool",20.3687056451613,31,"Cool",22.0807916666667,365,"Cold",0,0,NA,"2014","ABM"
"14316",22.1393903985507,92,"Warm",23.4720819892473,31,"Warm",25.3455416666667,365,"Cool",22,0,NA,"2014","ABM"
"14317",22.685166023074,92,"Warm",23.9150712365591,31,"Warm",26.1194583333333,365,"Cool",60,25,NA,"2014","ABM"
"14319",21.1348711861175,92,"Cool",22.602252688172,31,"Warm",24.48125,365,"Cool",8,0,NA,"2014","ABM"
"14358",20.7008922101449,92,"Cool",21.930688172043,31,"Cool",23.923125,365,"Cool",1,0,NA,"2014","ABM"
"14360",20.8389061206004,92,"Cool",22.1409610215054,31,"Cool",24.0744166666667,365,"Cool",5,0,NA,"2014","ABM"
"14361",20.5189221014493,92,"Cool",21.5447258064516,31,"Cool",23.639375,365,"Cool",19,1,NA,"2014","ABM"
"14362",20.9784719849896,92,"Cool",22.2540443548387,31,"Cool",24.7060416666667,365,"Cool",4,0,NA,"2014","ABM"
"14370",19.785709692029,92,"Cool",20.9316451612903,31,"Cool",22.5680416666667,365,"Cool",0,0,NA,"2014","ABM"
"14379",21.8203810307018,92,"Warm",23.2771021505376,31,"Warm",25.1890833333333,365,"Cool",12,0,NA,"2014","ABM"
"14390",18.0421305583004,92,"Cold",19.3804005376344,31,"Cool",21.5785416666667,365,"Cold",0,0,NA,"2014","ABM"
"14392",19.4571810947205,92,"Cool",20.6489946236559,31,"Cool",22.3187916666667,365,"Cold",0,0,NA,"2014","ABM"
"14394",20.7293985507246,92,"Cool",22.0499556451613,31,"Cool",24.1841666666667,365,"Cool",1,0,NA,"2014","ABM"
"14404",19.9641779891304,92,"Cool",21.2895443548387,31,"Cool",22.8013333333333,365,"Cool",0,0,NA,"2014","ABM"
"14410",22.4585434782609,92,"Warm",24.2450134408602,31,"Warm",26.281625,365,"Cool",53,12,NA,"2014","ABM"
"14413",19.5495498188406,92,"Cool",20.8285685483871,31,"Cool",22.4304583333333,365,"Cool",0,0,NA,"2014","ABM"
"14414",21.0827530797101,92,"Cool",22.4697916666667,31,"Warm",24.2887083333333,365,"Cool",1,0,NA,"2014","ABM"
"14441",19.2853663949275,92,"Cool",20.9158400537634,31,"Cool",23.4825,365,"Cool",4,0,NA,"2014","ABM"
"14442",18.6728161231884,92,"Cool",19.9976680107527,31,"Cool",21.8305416666667,365,"Cold",0,0,NA,"2014","ABM"
"14444",20.5027377717391,92,"Cool",21.869560483871,31,"Cool",23.4500833333333,365,"Cool",1,0,NA,"2014","ABM"
"14445",20.1332622282609,92,"Cool",21.071626344086,31,"Cool",22.8615,365,"Cool",0,0,NA,"2014","ABM"
"14450",20.9690575181159,92,"Cool",22.2006102150538,31,"Cool",24.0960833333333,365,"Cool",20,0,NA,"2014","ABM"
"14451",21.8231497153209,92,"Warm",23.8743534946237,31,"Warm",25.973125,365,"Cool",32,2,NA,"2014","ABM"
"14456",19.8293962215321,92,"Cool",21.1011720430108,31,"Cool",23.1137083333333,365,"Cool",1,0,NA,"2014","ABM"
"14458",21.1817463768116,92,"Cool",22.2378857526882,31,"Cool",23.9405833333333,365,"Cool",6,0,NA,"2014","ABM"
"14461",19.4959488224638,92,"Cool",20.7122956989247,31,"Cool",22.8614166666667,365,"Cool",1,0,NA,"2014","ABM"
"14470",17.5078623188406,92,"Cold",18.8171424731183,31,"Cool",20.66725,365,"Cold",0,0,NA,"2014","ABM"
"14473",21.2919941123188,92,"Cool",22.7526142473118,31,"Warm",24.8333333333333,365,"Cool",12,0,NA,"2014","ABM"
"14479",21.9014211956522,92,"Warm",23.3139825268817,31,"Warm",25.3635833333333,365,"Cool",60,18,NA,"2014","ABM"
"14484",18.0060674818841,92,"Cold",19.4286021505376,31,"Cool",20.981,365,"Cold",0,0,NA,"2014","ABM"
"14490",19.1435049818841,92,"Cool",20.5426935483871,31,"Cool",22.2474166666667,365,"Cold",0,0,NA,"2014","ABM"
"14553",20.4807311723602,92,"Cool",21.808688172043,31,"Cool",23.5714583333333,365,"Cool",4,0,NA,"2014","ABM"
