"staSeq","sampYr","ActivityStartDate","LAB_ID","Subsamp_Rep","Rep","Habitat","CUMDRAINAGE_SQMI","MMI","ETaxa","PTaxa","TTaxa","PctSenEPT","STaxa","AvgBCG","PctDomTaxa","LabAccession","CharacteristicName","ResultMeasureValue","ResultMeasureUnitCode","ResultDetectionConditionText","locationName","HydroID","lcYr","area_sqkm","length_km","sum_strdrf_pct","catch_strdrf_pct","slp_mean","rc_sqkm","ag","coreforest","dev","fragforest","openwater","wetland","nat"
14126,2013,2013-10-09,"14257","First",1,"Riffle",21.9297,52.9595207,2,1,7,52.99539171,6,3.833333333,19.8156682,"130405-015","Chloride",25.6,"ppm","","Aspetuck River",201496904,2015,56.7981,119.70478598,0.070554274,0.089581332,11.6373872297661,1.79583471982337,0.037534345,0.333066204370012,0.136252126128484,0.388901609315714,0.01131754546644,0.048721051942954,0.78200641109512
14128,2006,2006-09-26,"9865","First",1,"Riffle",51.0094,60.95182433,5,2,7,33.61344538,10,3.770833333,23.94957983,"061249-007","Chloride",10.87,"ppm","","Bantam River",201493421,2006,132.1146,248.344663961,0.036609462,0.274891101,22.1811927863832,1.35488432012813,0.161625111,0.313722594889536,0.092231644376942,0.308884951271991,0.043749736320297,0.079342980494733,0.745700262976557
14128,2016,2016-09-29,"16-B-034","First",1,"Riffle",51.0094,50.46223831,5,1,3,43.93442623,7,3.85,29.18032787,"160366-020","Chloride",57.7,"ppm","NULL","Bantam River",201493421,2015,132.1146,248.344663961,0.036609462,0.274891101,22.1811927863832,1.35488432012813,0.162771239,0.31131080453951,0.092674626277968,0.310832665344752,0.043004401693175,0.079335949035987,0.744483820613424
14129,2006,2006-10-06,"9968","First",1,"Riffle",10.0133,54.85139431,5,2,7,46.30541872,3,3.833333333,27.5862069,"061253-014","Chloride",25.9,"ppm","","Beacon Hill Brook",201495297,2006,25.9344,31.039679539,0.148667253,0.589813164,17.6435892618731,1.34955888703807,0.011107926,0.373118818976638,0.18267163537337,0.318116669055468,0.028199799340691,0.014834456069944,0.734269743442741
14129,2015,2015-09-28,"620.2-078","First",1,"Riffle",10.0133,54.09429242,5,1,9,20.85308057,8,4.06,27.96208531,"150413-001","Chloride",61.8,"ppm","","Beacon Hill Brook",201495297,2015,25.9344,31.039679539,0.148667253,0.589813164,17.6435892618731,1.34955888703807,0.01082127,0.37451626773685,0.187616454063351,0.312240217858679,0.027948975204243,0.014798624050452,0.729504084850224
14129,2016,2016-10-05,"16-B-047","First",1,"Riffle",10.0133,44.43116397,3,1,8,12.43523316,6,3.952380952,38.34196891,"160372-008","Chloride",63,"ppm","NULL","Beacon Hill Brook",201495297,2015,25.9344,31.039679539,0.148667253,0.589813164,17.6435892618731,1.34955888703807,0.01082127,0.37451626773685,0.187616454063351,0.312240217858679,0.027948975204243,0.014798624050452,0.729504084850224
14132,2006,2006-10-17,"9992","First",1,"Riffle",45.6119,59.12220955,7,1,6,40.56603774,8,3.9,20.28301887,"061260-003","Chloride",11.33,"ppm","","Blackberry River",201489066,2006,118.1349,155.142513157,0.078157932,0.018181818,5.31666278641663,0.617937628930993,0.115968012,0.526220188247505,0.071217947205775,0.205947803385939,0.031461080575279,0.036186926470241,0.799815998678964
14137,2008,2008-10-16,"14050","First",1,"Riffle",19.2812,74.81422789,6,2,9,58.40707965,12,3.628571429,15.04424779,"080193-002","Chloride",16.5,"ppm","","Blackledge River",201492502,2006,49.9383,76.056269162,0.043235985,0.118789903,14.6124602949276,0.640790735767938,0.069786474,0.426716762145674,0.118127371475337,0.274979540212782,0.011104084517521,0.032010267093222,0.744810653969199
14137,2012,2012-10-10,"6448.4-10","First",1,"Riffle",19.2812,81.96439567,8,4,9,59.70149254,9,3.414285714,17.41293532,"120274-014","Chloride",20.3,"ppm","","Blackledge River",201492502,2010,49.9383,76.056269162,0.043235985,0.118789903,14.6124602949276,0.640790735767938,0.069972472,0.420058031396473,0.118610966445949,0.28087567889294,0.011104084517521,0.032010267093222,0.744048061900156
14145,2006,2006-10-24,"10031","First",1,"Riffle",22.4753,37.30476645,1,2,6,15.2173913,6,3.888888889,58.26086957,"061270-007","Chloride",14.62,"ppm","","Branch Brook",201493559,2006,58.2111,109.970075719,0.02217514,0.171568627,23.8640560063935,1.58045458683997,0.168927545,0.333801468241302,0.098436003830195,0.286610277689116,0.034551548037025,0.022215129269071,0.677178423236514
14146,2007,2007-10-11,"12106","First",1,"Riffle",12.1159,54.80739613,3,1,9,41.63090129,6,3.765151515,26.60944206,"070202-028","Chloride",15.7,"ppm","","Branford River",201496101,2006,31.3803,37.643183648,0.073574202,0.148748285,13.5043302162666,1.05161518532328,0.026377335,0.427099677314308,0.122087687616567,0.207140531099204,0.159418573670032,0.031765297966192,0.825424080049736
14146,2013,2013-09-17,"14260","First",1,"Riffle",12.1159,45.83307245,3,1,8,7.594936709,7,3.833333333,37.13080169,"130377-008","Chloride",28.4,"ppm","","Branford River",201496101,2015,31.3803,37.643183648,0.073574202,0.148748285,13.5043302162666,1.05161518532328,0.024423458,0.419313774830516,0.122916604991267,0.211551555700287,0.159329761094171,0.031735693774238,0.821930785399212
14147,2008,2008-10-02,"13961","First",1,"Riffle",15.8494,30.75415842,NA,NA,4,27.51091703,4,4.194444444,27.51091703,"080177-002","Chloride",23.8,"ppm","","Broad Brook",201488625,2006,41.0499,58.478903652,0.450835099,0.242260572,8.86091639546644,1.09622678739778,0.302865031,0.165180592015932,0.132298361546121,0.248370598352494,0.004164026432516,0.027088802389789,0.444804019190731
