Date Time,Temp,UOM,ProbeID,SID,Collector,Probe Type
5/31/2017 23:00,18.2,deg C,10121933,19842, VOL,HOBO
6/1/2017 0:00,18.01,deg C,10121933,19842, VOL,HOBO
6/1/2017 1:00,17.772,deg C,10121933,19842, VOL,HOBO
6/1/2017 2:00,17.391,deg C,10121933,19842, VOL,HOBO
6/1/2017 3:00,17.13,deg C,10121933,19842, VOL,HOBO
6/1/2017 4:00,17.034,deg C,10121933,19842, VOL,HOBO
6/1/2017 5:00,16.892,deg C,10121933,19842, VOL,HOBO
6/1/2017 6:00,16.773,deg C,10121933,19842, VOL,HOBO
6/1/2017 7:00,16.773,deg C,10121933,19842, VOL,HOBO
6/1/2017 8:00,16.844,deg C,10121933,19842, VOL,HOBO
6/1/2017 9:00,17.082,deg C,10121933,19842, VOL,HOBO
6/1/2017 10:00,17.51,deg C,10121933,19842, VOL,HOBO
6/1/2017 11:00,18.129,deg C,10121933,19842, VOL,HOBO
6/1/2017 12:00,19.008,deg C,10121933,19842, VOL,HOBO
6/1/2017 13:00,19.698,deg C,10121933,19842, VOL,HOBO
6/1/2017 14:00,20.365,deg C,10121933,19842, VOL,HOBO
6/1/2017 15:00,20.746,deg C,10121933,19842, VOL,HOBO
6/1/2017 16:00,20.841,deg C,10121933,19842, VOL,HOBO
6/1/2017 17:00,20.674,deg C,10121933,19842, VOL,HOBO
6/1/2017 18:00,20.531,deg C,10121933,19842, VOL,HOBO
6/1/2017 19:00,20.507,deg C,10121933,19842, VOL,HOBO
6/1/2017 20:00,20.293,deg C,10121933,19842, VOL,HOBO
6/1/2017 21:00,19.936,deg C,10121933,19842, VOL,HOBO
6/1/2017 22:00,19.651,deg C,10121933,19842, VOL,HOBO
6/1/2017 23:00,19.318,deg C,10121933,19842, VOL,HOBO
6/2/2017 0:00,18.985,deg C,10121933,19842, VOL,HOBO
6/2/2017 1:00,18.699,deg C,10121933,19842, VOL,HOBO
6/2/2017 2:00,18.343,deg C,10121933,19842, VOL,HOBO
6/2/2017 3:00,18.01,deg C,10121933,19842, VOL,HOBO
6/2/2017 4:00,17.677,deg C,10121933,19842, VOL,HOBO
6/2/2017 5:00,17.344,deg C,10121933,19842, VOL,HOBO
6/2/2017 6:00,17.034,deg C,10121933,19842, VOL,HOBO
6/2/2017 7:00,16.915,deg C,10121933,19842, VOL,HOBO
6/2/2017 8:00,17.058,deg C,10121933,19842, VOL,HOBO
6/2/2017 9:00,17.415,deg C,10121933,19842, VOL,HOBO
6/2/2017 10:00,17.772,deg C,10121933,19842, VOL,HOBO
6/2/2017 11:00,18.295,deg C,10121933,19842, VOL,HOBO
6/2/2017 12:00,19.008,deg C,10121933,19842, VOL,HOBO
6/2/2017 13:00,19.484,deg C,10121933,19842, VOL,HOBO
6/2/2017 14:00,19.936,deg C,10121933,19842, VOL,HOBO
6/2/2017 15:00,20.079,deg C,10121933,19842, VOL,HOBO
6/2/2017 16:00,20.079,deg C,10121933,19842, VOL,HOBO
6/2/2017 17:00,20.174,deg C,10121933,19842, VOL,HOBO
6/2/2017 18:00,19.96,deg C,10121933,19842, VOL,HOBO
6/2/2017 19:00,19.77,deg C,10121933,19842, VOL,HOBO
6/2/2017 20:00,19.722,deg C,10121933,19842, VOL,HOBO
6/2/2017 21:00,19.46,deg C,10121933,19842, VOL,HOBO
6/2/2017 22:00,19.127,deg C,10121933,19842, VOL,HOBO
6/2/2017 23:00,18.747,deg C,10121933,19842, VOL,HOBO
6/3/2017 0:00,18.343,deg C,10121933,19842, VOL,HOBO
6/3/2017 1:00,17.962,deg C,10121933,19842, VOL,HOBO
6/3/2017 2:00,17.582,deg C,10121933,19842, VOL,HOBO
6/3/2017 3:00,17.249,deg C,10121933,19842, VOL,HOBO
6/3/2017 4:00,16.892,deg C,10121933,19842, VOL,HOBO
6/3/2017 5:00,16.558,deg C,10121933,19842, VOL,HOBO
6/3/2017 6:00,16.32,deg C,10121933,19842, VOL,HOBO
6/3/2017 7:00,16.296,deg C,10121933,19842, VOL,HOBO
6/3/2017 8:00,16.487,deg C,10121933,19842, VOL,HOBO
6/3/2017 9:00,16.796,deg C,10121933,19842, VOL,HOBO
6/3/2017 10:00,17.058,deg C,10121933,19842, VOL,HOBO
6/3/2017 11:00,17.177,deg C,10121933,19842, VOL,HOBO
6/3/2017 12:00,17.582,deg C,10121933,19842, VOL,HOBO
6/3/2017 13:00,17.891,deg C,10121933,19842, VOL,HOBO
6/3/2017 14:00,18.509,deg C,10121933,19842, VOL,HOBO
6/3/2017 15:00,18.937,deg C,10121933,19842, VOL,HOBO
6/3/2017 16:00,19.294,deg C,10121933,19842, VOL,HOBO
6/3/2017 17:00,19.508,deg C,10121933,19842, VOL,HOBO
6/3/2017 18:00,19.532,deg C,10121933,19842, VOL,HOBO
6/3/2017 19:00,19.484,deg C,10121933,19842, VOL,HOBO
6/3/2017 20:00,19.27,deg C,10121933,19842, VOL,HOBO
6/3/2017 21:00,18.961,deg C,10121933,19842, VOL,HOBO
