Date_Time,Temp,UOM,ProbeID,SID,Collector
6/9/2016 16:00,18.033,deg,9862220,14445,ABM
6/9/2016 17:00,17.962,deg,9862220,14445,ABM
6/9/2016 18:00,17.867,deg,9862220,14445,ABM
6/9/2016 19:00,17.724,deg,9862220,14445,ABM
6/9/2016 20:00,17.463,deg,9862220,14445,ABM
6/9/2016 21:00,17.296,deg,9862220,14445,ABM
6/9/2016 22:00,17.13,deg,9862220,14445,ABM
6/9/2016 23:00,16.939,deg,9862220,14445,ABM
6/10/2016 0:00,16.749,deg,9862220,14445,ABM
6/10/2016 1:00,16.534,deg,9862220,14445,ABM
6/10/2016 2:00,16.296,deg,9862220,14445,ABM
6/10/2016 3:00,16.058,deg,9862220,14445,ABM
6/10/2016 4:00,15.819,deg,9862220,14445,ABM
6/10/2016 5:00,15.581,deg,9862220,14445,ABM
6/10/2016 6:00,15.39,deg,9862220,14445,ABM
6/10/2016 7:00,15.247,deg,9862220,14445,ABM
6/10/2016 8:00,15.151,deg,9862220,14445,ABM
6/10/2016 9:00,15.199,deg,9862220,14445,ABM
6/10/2016 10:00,15.342,deg,9862220,14445,ABM
6/10/2016 11:00,15.676,deg,9862220,14445,ABM
6/10/2016 12:00,16.106,deg,9862220,14445,ABM
6/10/2016 13:00,16.677,deg,9862220,14445,ABM
6/10/2016 14:00,17.272,deg,9862220,14445,ABM
6/10/2016 15:00,17.796,deg,9862220,14445,ABM
6/10/2016 16:00,18.033,deg,9862220,14445,ABM
6/10/2016 17:00,17.938,deg,9862220,14445,ABM
6/10/2016 18:00,17.915,deg,9862220,14445,ABM
6/10/2016 19:00,17.796,deg,9862220,14445,ABM
6/10/2016 20:00,17.677,deg,9862220,14445,ABM
6/10/2016 21:00,17.486,deg,9862220,14445,ABM
6/10/2016 22:00,17.32,deg,9862220,14445,ABM
6/10/2016 23:00,17.177,deg,9862220,14445,ABM
6/11/2016 0:00,17.034,deg,9862220,14445,ABM
6/11/2016 1:00,16.868,deg,9862220,14445,ABM
6/11/2016 2:00,16.677,deg,9862220,14445,ABM
6/11/2016 3:00,16.415,deg,9862220,14445,ABM
6/11/2016 4:00,16.153,deg,9862220,14445,ABM
6/11/2016 5:00,15.915,deg,9862220,14445,ABM
6/11/2016 6:00,15.7,deg,9862220,14445,ABM
